name,sku,slug,description,price,sale_price,stock_quantity,size,rim_diameter,load_index,speed_rating,tire_type,ai_label,category_id
90/90-14 121,90/90-14-121-24,90/90-14-121-24,Lốp xe Motorcycle kích thước 90/90-14,0.0,0.0,100,90/90-14,14.0,46P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
90/90-14 D373,90/90-14-d373-25,90/90-14-d373-25,Lốp xe Motorcycle kích thước 90/90-14,0.0,0.0,100,90/90-14,14.0,46P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
100/90-14 119,100/90-14-119-26,100/90-14-119-26,Lốp xe Motorcycle kích thước 100/90-14,0.0,0.0,100,100/90-14,14.0,57P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
100/90-14 121,100/90-14-121-27,100/90-14-121-27,Lốp xe Motorcycle kích thước 100/90-14,0.0,0.0,100,100/90-14,14.0,57P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
70/90-16 119,70/90-16-119-28,70/90-16-119-28,Lốp xe Motorcycle kích thước 70/90-16,0.0,0.0,100,70/90-16,16.0,36P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
70/90-16 121,70/90-16-121-29,70/90-16-121-29,Lốp xe Motorcycle kích thước 70/90-16,0.0,0.0,100,70/90-16,16.0,36P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/90-16 119,80/90-16-119-30,80/90-16-119-30,Lốp xe Motorcycle kích thước 80/90-16,0.0,0.0,100,80/90-16,16.0,43P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/90-16 121,80/90-16-121-31,80/90-16-121-31,Lốp xe Motorcycle kích thước 80/90-16,0.0,0.0,100,80/90-16,16.0,43P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
110/90-16 D354,110/90-16-d354-32,110/90-16-d354-32,Lốp xe Motorcycle kích thước 110/90-16,0.0,0.0,100,110/90-16,16.0,59P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
70/90-17 D355,70/90-17-d355-33,70/90-17-d355-33,Lốp xe Motorcycle kích thước 70/90-17,0.0,0.0,100,70/90-17,17.0,38P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/90-17 D352,80/90-17-d352-34,80/90-17-d352-34,Lốp xe Motorcycle kích thước 80/90-17,0.0,0.0,100,80/90-17,17.0,44P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/90-17 D355,80/90-17-d355-35,80/90-17-d355-35,Lốp xe Motorcycle kích thước 80/90-17,0.0,0.0,100,80/90-17,17.0,44P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/90-17 D375,80/90-17-d375-36,80/90-17-d375-36,Lốp xe Motorcycle kích thước 80/90-17,0.0,0.0,100,80/90-17,17.0,50P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/90-17 D383,80/90-17-d383-37,80/90-17-d383-37,Lốp xe Motorcycle kích thước 80/90-17,0.0,0.0,100,80/90-17,17.0,50P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
120/70-10 D354,120/70-10-d354-38,120/70-10-d354-38,Lốp xe Scooter kích thước 120/70-10,0.0,0.0,100,120/70-10,10.0,48P,,Scooter,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
110/70-11 D354,110/70-11-d354-39,110/70-11-d354-39,Lốp xe Scooter kích thước 110/70-11,0.0,0.0,100,110/70-11,11.0,45P,,Scooter,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
120/70-11 D354,120/70-11-d354-40,120/70-11-d354-40,Lốp xe Scooter kích thước 120/70-11,0.0,0.0,100,120/70-11,11.0,50P,,Scooter,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
110/70-12 D354,110/70-12-d354-41,110/70-12-d354-41,Lốp xe Scooter kích thước 110/70-12,0.0,0.0,100,110/70-12,12.0,47P,,Scooter,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
120/70-12 D354,120/70-12-d354-42,120/70-12-d354-42,Lốp xe Scooter kích thước 120/70-12,0.0,0.0,100,120/70-12,12.0,51P,,Scooter,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
130/70-12 119,130/70-12-119-43,130/70-12-119-43,Lốp xe Scooter kích thước 130/70-12,0.0,0.0,100,130/70-12,12.0,56P,,Scooter,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
130/70-12 D354,130/70-12-d354-44,130/70-12-d354-44,Lốp xe Scooter kích thước 130/70-12,0.0,0.0,100,130/70-12,12.0,56P,,Scooter,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
90/90-12 119,90/90-12-119-45,90/90-12-119-45,Lốp xe Scooter kích thước 90/90-12,0.0,0.0,100,90/90-12,12.0,44J,,Scooter,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
100/90-10 118,100/90-10-118-46,100/90-10-118-46,Lốp xe Scooter kích thước 100/90-10,0.0,0.0,100,100/90-10,10.0,56J,,Scooter,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
100/90-10 119,100/90-10-119-47,100/90-10-119-47,Lốp xe Scooter kích thước 100/90-10,0.0,0.0,100,100/90-10,10.0,56J,,Scooter,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
